Vcell	Icell	time
3.948020	2.160000	10.672000
3.948020	2.160000	10.705667
3.948610	2.160000	10.739500
3.949510	2.160000	10.773333
3.949510	2.160000	10.807167
3.949800	2.160000	10.840833
3.950990	2.160000	10.874667
3.950400	2.160000	10.908500
3.950990	2.160000	10.942333
3.952780	2.160000	10.976000
3.952480	2.160000	11.009833
3.952480	2.160000	11.043667
3.952780	2.160000	11.077333
3.952780	2.160000	11.111167
3.953070	2.160000	11.145000
3.953070	2.160000	11.178667
3.953370	2.160000	11.212500
3.953370	2.160000	11.246333
3.954260	2.160000	11.280000
3.955150	2.160000	11.313833
3.955750	2.160000	11.347500
3.956340	2.160000	11.381167
3.956640	2.160000	11.414833
3.957530	2.160000	11.448667
3.956050	2.160000	11.482333
3.956940	2.160000	11.516167
3.956340	2.160000	11.549833
3.957830	2.160000	11.583833
3.957830	2.160000	11.617500
3.958130	2.160000	11.651333
3.958430	2.160000	11.685167
3.959610	2.160000	11.718833
3.958720	2.160000	11.752667
3.960510	2.160000	11.786333
3.961700	2.160000	11.820167
3.960800	2.160000	11.854000
3.961100	2.160000	11.887667
3.962290	2.160000	11.921500
3.962590	2.160000	11.955167
3.961400	2.160000	11.988833
3.963480	2.160000	12.022500
3.961990	2.160000	12.056333
3.962590	2.160000	12.090167
3.962880	2.160000	12.123833
3.963780	2.160000	12.157833
3.965260	2.160000	12.191500
3.964970	2.160000	12.225333
3.964970	2.160000	12.259000
3.966160	2.160000	12.292667
3.966750	2.160000	12.326167
3.965560	2.160000	12.360000
3.965860	2.160000	12.393833
3.967050	2.160000	12.427667
3.966450	2.160000	12.461333
3.965860	2.160000	12.495000
3.967640	2.160000	12.528833
3.969430	2.160000	12.562667
3.968830	2.160000	12.596500
3.970320	2.160000	12.630167
3.969130	2.160000	12.664000
3.970910	2.160000	12.697667
3.970320	2.160000	12.731333
3.971210	2.160000	12.765167
3.972400	2.160000	12.798833
3.971800	2.160000	12.832667
3.971510	2.160000	12.866333
3.972400	2.160000	12.900167
3.971800	2.160000	12.933833
3.972400	2.160000	12.967667
3.973290	2.160000	13.001500
3.974180	2.160000	13.035333
3.974180	2.160000	13.069167
3.975080	2.160000	13.103167
3.975370	2.160000	13.136833
3.976260	2.160000	13.170667
3.975370	2.160000	13.204500
3.975370	2.160000	13.238333
3.975970	2.160000	13.272167
3.977160	2.160000	13.306000
3.975970	2.160000	13.339667
3.977160	2.160000	13.373667
3.978050	2.160000	13.407333
3.977750	2.160000	13.441167
3.979830	2.160000	13.475000
3.978350	2.160000	13.508667
3.979240	2.160000	13.542667
3.980130	2.160000	13.576500
3.980130	2.160000	13.610333
3.980720	2.160000	13.644000
3.980720	2.160000	13.677833
3.981320	2.160000	13.711500
3.981320	2.160000	13.745167
3.982510	2.160000	13.779000
3.981910	2.160000	13.812833
3.982810	2.160000	13.846667
3.983400	2.160000	13.880333
3.983990	2.160000	13.914167
3.985180	2.160000	13.947833
3.984590	2.160000	13.981667
3.984890	2.160000	14.015500
3.986080	2.160000	14.049333
3.985180	2.160000	14.082833
3.985780	2.160000	14.116500
3.985780	2.160000	14.150333
3.986370	2.160000	14.184167
3.987560	2.160000	14.217667
3.986970	2.160000	14.251500
3.988450	2.160000	14.285333
3.988450	2.160000	14.319000
3.988160	2.160000	14.352833
3.989350	2.160000	14.386833
3.989050	2.160000	14.420500
3.990540	2.160000	14.454333
3.990240	2.160000	14.488000
3.989940	2.160000	14.521833
3.991130	2.160000	14.555667
3.991730	2.160000	14.589333
3.992620	2.160000	14.623167
3.992620	2.160000	14.657000
3.991730	2.160000	14.690667
3.992620	2.160000	14.724500
3.992620	2.160000	14.758333
3.994400	2.160000	14.792167
3.994100	2.160000	14.826000
3.994400	2.160000	14.859833
3.995890	2.160000	14.893833
3.994400	2.160000	14.927500
3.995590	2.160000	14.961333
3.995890	2.160000	14.995167
3.995890	2.160000	15.029000
3.997080	2.160000	15.062833
3.996780	2.160000	15.096667
3.998560	2.160000	15.130333
3.997970	2.160000	15.164000
3.999460	2.160000	15.197667
